slug,name,category,category_name,before_title,before_title_len,after_title,after_title_len,before_meta,before_meta_len,after_meta,after_meta_len,h1,canonical,ctr_tier_after,issues_after,template
aaron-marketing-skills,Aaron Marketing Skills,agent-skills,Agent Skills,Aaron Marketing Skills — AI Marketing Tool | MartechSignal,58,Aaron Marketing Skills Review — Open Source | MartechSignal,59,"120 marketing skills across 7 disciplines for Claude Code with auditor gates Pricing, AI features, integrations, and alternatives.",130,"Aaron Marketing Skills — 120 marketing skills across 7… Open source & free to self-host. Compare AI features, integrations & top alternatives.",142,Aaron Marketing Skills,/tools/aaron-marketing-skills/,LOW,OK,{Tool} Review: {Category} — {Pricing} | MartechSignal (≤60ch; fallback without category if needed)
activecampaign,ActiveCampaign,marketing-automation,Marketing Automation,ActiveCampaign — AI Marketing Tool | MartechSignal,50,ActiveCampaign Review — From $15/mo | MartechSignal,51,"AI-powered marketing automation and CRM for small to mid-size businesses Pricing, AI features, integrations, and alternatives.",126,"ActiveCampaign — AI-powered marketing automation and CRM for small to mid-size… Starts at $15/mo. Compare AI features, integrations & top alternatives.",151,ActiveCampaign,/tools/activecampaign/,LOW,OK,{Tool} Review: {Category} — {Pricing} | MartechSignal (≤60ch; fallback without category if needed)
adcreative-ai,AdCreative.ai,advertising,Advertising & Paid Media,AdCreative.ai — AI Marketing Tool | MartechSignal,49,AdCreative.ai Review — From $39/mo | MartechSignal,50,"AI platform generating high-converting ad creatives and social media post designs Pricing, AI features, integrations, and alternatives.",135,"AdCreative.ai — AI platform generating high-converting ad creatives and social… Starts at $39/mo. Compare AI features, integrations & top alternatives.",151,AdCreative.ai,/tools/adcreative-ai/,LOW,OK,{Tool} Review: {Category} — {Pricing} | MartechSignal (≤60ch; fallback without category if needed)
adobe-marketo,Adobe Marketo Engage,marketing-automation,Marketing Automation,Adobe Marketo Engage — AI Marketing Tool | MartechSignal,56,Adobe Marketo Engage Review — Enterprise | MartechSignal,56,"Enterprise B2B marketing automation with AI-driven lead management and engagement Pricing, AI features, integrations, and alternatives.",135,"Adobe Marketo Engage — Enterprise B2B marketing automation… Enterprise pricing; demo required. Compare AI features, integrations & top alternatives.",148,Adobe Marketo Engage,/tools/adobe-marketo/,LOW,OK,{Tool} Review: {Category} — {Pricing} | MartechSignal (≤60ch; fallback without category if needed)
ai-business-skills,AI Business Skills,agent-skills,Agent Skills,AI Business Skills — AI Marketing Tool | MartechSignal,54,AI Business Skills Review — Open Source | MartechSignal,55,"63 bilingual marketing skills (Vietnamese + Global) for Claude Code and agents Pricing, AI features, integrations, and alternatives.",132,"AI Business Skills — 63 bilingual marketing skills (Vietnamese +… Open source & free to self-host. Compare AI features, integrations & top alternatives.",152,AI Business Skills,/tools/ai-business-skills/,LOW,OK,{Tool} Review: {Category} — {Pricing} | MartechSignal (≤60ch; fallback without category if needed)
ai-marketing-claude,AI Marketing Suite,agent-skills,Agent Skills,AI Marketing Suite — AI Marketing Tool | MartechSignal,54,AI Marketing Suite Review — Open Source | MartechSignal,55,"15-skill marketing suite for Claude Code with parallel agents and PDF reports Pricing, AI features, integrations, and alternatives.",131,"AI Marketing Suite — 15-skill marketing suite for Claude Code… Open source & free to self-host. Compare AI features, integrations & top alternatives.",149,AI Marketing Suite,/tools/ai-marketing-claude/,LOW,OK,{Tool} Review: {Category} — {Pricing} | MartechSignal (≤60ch; fallback without category if needed)
albert-ai,Albert AI,advertising,Advertising & Paid Media,Albert AI — AI Marketing Tool | MartechSignal,45,Albert AI Review — Enterprise | MartechSignal,45,"Autonomous AI platform that manages and optimizes digital advertising campaigns Pricing, AI features, integrations, and alternatives.",133,"Albert AI — Autonomous AI platform that manages and optimizes… Enterprise pricing; demo required. Compare AI features, integrations & top alternatives.",151,Albert AI,/tools/albert-ai/,LOW,OK,{Tool} Review: {Category} — {Pricing} | MartechSignal (≤60ch; fallback without category if needed)
alwrity,ALwrity,marketing-automation,Marketing Automation,ALwrity — AI Marketing Tool | MartechSignal,43,ALwrity Review — Open Source | MartechSignal,44,"AI-first digital marketing platform for content strategy, generation, publishing, SEO, and social Pricing, AI features, integrations, and alternatives.",151,"ALwrity — AI-first digital marketing platform for content… Open source & free to self-host. Compare AI features, integrations & top alternatives.",145,ALwrity,/tools/alwrity/,LOW,OK,{Tool} Review: {Category} — {Pricing} | MartechSignal (≤60ch; fallback without category if needed)
amplitude,Amplitude,analytics,Analytics & Attribution,Amplitude — AI Marketing Tool | MartechSignal,45,Amplitude Review — Freemium | MartechSignal,43,"AI-powered digital analytics platform for product and marketing teams Pricing, AI features, integrations, and alternatives.",123,"Amplitude — AI-powered digital analytics platform for product and marketing… Free tier available. Compare AI features, integrations & top alternatives.",151,Amplitude,/tools/amplitude/,LOW,OK,{Tool} Review: {Category} — {Pricing} | MartechSignal (≤60ch; fallback without category if needed)
analytics-tracking-automation,Analytics Tracking Automation,agent-skills,Agent Skills,Analytics Tracking Automation — AI Marketing Tool | MartechSignal,65,Analytics Tracking Review — Open Source | MartechSignal,55,"AI skill for GA4 + GTM event tracking: site analysis, schema design, and go-live Pricing, AI features, integrations, and alternatives.",134,"Analytics Tracking Automation — AI skill for GA4 + GTM event… Open source & free to self-host. Compare AI features, integrations & top alternatives.",148,Analytics Tracking Automation,/tools/analytics-tracking-automation/,LOW,OK,{Tool} Review: {Category} — {Pricing} | MartechSignal (≤60ch; fallback without category if needed)
anyword,Anyword,content-ai,AI Content & Copywriting,Anyword — AI Marketing Tool | MartechSignal,43,Anyword Review — From $39/mo | MartechSignal,44,"AI copywriting platform with predictive performance scores for marketing content Pricing, AI features, integrations, and alternatives.",134,"Anyword — AI copywriting platform with predictive performance scores for… Starts at $39/mo. Compare AI features, integrations & top alternatives.",145,Anyword,/tools/anyword/,LOW,OK,{Tool} Review: {Category} — {Pricing} | MartechSignal (≤60ch; fallback without category if needed)
attio,Attio,crm,CRM,Attio — AI Marketing Tool | MartechSignal,41,Attio Review: CRM — Freemium | MartechSignal,44,"AI-native CRM with real-time data enrichment and agentic revenue workflows Pricing, AI features, integrations, and alternatives.",128,"Attio — AI-native CRM with real-time data enrichment and agentic revenue… Free tier available. Compare AI features, integrations & top alternatives.",148,Attio,/tools/attio/,LOW,OK,{Tool} Review: {Category} — {Pricing} | MartechSignal (≤60ch; fallback without category if needed)
